rec_id,depname,includes,altname,country,cntrycd,stprov,latitude,longitude,agemy,depage,oreton,cugrd,mogrd,augrd,aggrd,deptype,empldepth,dep5km10km,dep5km,dep_id,latdeg,latmin,latsec,londeg,lonmin,lonsec,rockdep,rockmap,rockmapdep,discdate,startdate,ore_a,ore_b,ore_area,alter_a,alter_b,alter_area,sulf_a,sulf_b,sulf_area,comments
1,Agua  Rica,,Mi Vida,Argentina,AGTN,Catamarca,-27.37083333,-66.28,5.5,6?5,1761,0.42,0.033,0.18,3.2,17,2,"17, 22c",25e,323,-27,-22,-15,-66,-16,-48,"breccia, dacite porphyry, quartz feldspar porphyry, rhyolite porphyry","basalt, conglomerate, granite, migmatite, syenodiorite","andesite, monzodiorite, schist",1900,,0,0,0,4.4,3.8,13.1,0,0,5.7,0.2% Cu cut-off grade. Exposed. Superposition of multistage mineralized breccia. Farallon Negro volcanic region.
2,Alcaparrosa,,,Argentina,AGTN,San Juan,-31.3,-69.36666667,267,267,,0,0,0,0,17,0,,,330,-31,-18,,-69,-22,,diorite porphyry,,,,,0,0,0,0,0,0,0,0,0,
3,Arroyo  Chita,,Chita,Argentina,AGTN,San Juan,-30.5,-69.75,12,12,,0,0,0,0,17,0,,,328,-30,-30,,-69,-45,,andesite porphyry,,,,,0,0,0,0,0,0,0,0,0,
4,Bajo  de  Agua  Tapado,,,Argentina,AGTN,Catamarca,-27.26666667,-66.65,8.5,11?6,,0,0,0,0,20c,0,25c (3),22c,320,-27,-16,,-66,-39,,"breccia, dacite porphyry",conglomerate (block and ash flow deposit),"andesite, andesite agglomerate, basalt, monzonite",1940s,,0,0,0,5.3,1.5,6.2,1.3,1.1,1.1,"Thin veins ?2.2 g/t Au, 174 g/t Ag. Exposed. Farallon Negro volcanic region."
5,Bajo  de  la  Alumbrera,,,Argentina,AGTN,Catamarca,-27.32972222,-66.60888889,7.5,8.02¡À0.14 to 6.75¡À0.09,806,0.53,0,0.64,2.5,20c,2.528,"20c (2), 25c (2)",20c,322,-27,-19,-47,-66,-36,-32,"dacite porphyry, quartz-feldspar porphyry","granite, schist, gneiss","andesite, andesite breccia, conglomerate (block and ash flow deposit) , sandstone, tuff",1949,1997,1.1,0.6,0.52,2.5,1.75,3.4,0,0,0,1999 resources: 767 Mt at 0.51% Cu and 0.64 g/t Au. In concentrate: 8 ppb Pt; 35 ppb Pd. Exposed. Farallon Negro volcanic region.
6,Bajo  de  la  Leona,,,Argentina,AGTN,Santa Cruz,-48.075,-67.30833333,200,200,,0,0,0,0,17,0,,,708,-48,-4,-30,-67,-18,-30,"aplite, granodiorite porphyry","basalt, volcanoclasics","granite, granodiorite",,,0,0,0,0,0,0,0,0,0,"Average grades: 1.71% Cu, 26.1 g/t Ag."
7,Bajo  de  San  Lucas,,,Argentina,AGTN,Catamarca,-27.4,-66.55,7,7,,0,0,0,0,17,0,20c (2),,325,-27,-24,,-66,-33,,"dacite porphyry, monzonite porphyry",,"andesite, granite, diorite porphyry, metasedimentary rocks, phyllite, sandstone, schist",1975,,0,0,0,2.7,2,4.2,0,0,0,"Reported grades range from 0.05 to 0.26% Cu, ?0.35 g/t Au, 1.65 to 2.5 g/t Ag. Farallon Negro volcanic region"
8,Bajo  El  Durazno,,,Argentina,AGTN,Catamarca,-27.28333333,-66.56666667,8,8,200,0.32,0,0.12,0,17,0,"20c (2), 25c (2)",,321,-27,-17,,-66,-34,,"breccia, andesite porphyry","dacite porphyry, monzonite porphyry","agglomerate, andesite, andesite breccia, basalt",1976,,0,0,0,3,2.3,5.4,0,0,0,10% of the deposit area is covered by alluvium. Farallon Negro volcanic region.
9,Betito,,"La Borita, Fenix, Guaayracocha",Argentina,AGTN,Catamarca,-26.3,-67.9,14,Miocene ?,,0,0,0,0,17,0,,,319,-26,-18,,-67,-54,,,,"argillite, limestone, tuffaceous sandstone, siltstone, tuff",,,0,0,0,0,0,0,0,0,0,"Resources of 1.17 Mt at 1% Cu, 0.95% Pb, and 0.17% Zn."
10,Campana  Mahuida,,,Argentina,AGTN,Neuqu¨¦n,-38.25,-70.58333333,74,74,194,0.49,0,0.098,0,17,0,22c,,337,-38,-15,,-70,-35,,"andesite porphyry, dacite porphyry, skarn","diorite, granodiorite, granodiorite porphyry","metasedimentary rocks, hornfels",1966,1999 ?,0,0,0,0,0,0,3,2,4.7,"Reserves of 1994: oxidized zone, 31 Mt at 0.4% Cu and 0.14 g/t Au; secondary enrichment zone, 11 Mt at 0.6% Cu and 0.03 g/t Au; sulfide ore, 71 Mt at 0.38% Cu and 0.09 g/t Au. 60% of the deposit area is covered by gravel."
