rec_id,depname,altname,includes,cntrycd,country,stprov,latdeg,latmin,latsec,latitude,londeg,lonmin,lonsec,longitude,deptype,discdate,startdate,oreton,cugrd,zngrd,pbgrd,augrd,aggrd,stringer,comments,depage,agemy,ore_area,ore_a,ore_b,alter_area,alter_a,alter_b,geochem,geochem_a,geochem_b,geophys,geophys_a,geophys_b,cover,lithotect,postmindef,meta_grade,synminint,postminint,syndepctrl
571,Aarja,,,OMAN,Oman,,24,19,48,24.33,56,25,12,56.42,Mafic,1973,,3,2,0,0,0,0,yes,"Massive, stockwork. Surface gossan. Ophiolite.",Cretaceous,100,,0.12,0.06,,,,,,,,,,0,"Mafic setting in midoceanic ridge",yes,none,no,yes,stratigraphic
572,Abeshiro,,"Matsu, Daido, Hime, Sakura, Shin Hime, Kama",JAPN,Japan,Aomori,41,15,0,41.25,140,59,55,140.998611111111,Felsic,1909,1912,1.7,2.2,11.8,1,1.2,219,no,"Massive. Exposed at surface. Stratigraphy given for Sakura deposit.",Miocene,15,,0.41,0.28,,,,,,,,,,0,"Siliciclastic-felsic in mature epicontinental arc",no,,yes,no,stratigraphic
573,Adak-Lindskold,,"Adak, Lindskold",SWDN,Sweden,,65,5,0,65.0833333333333,17,47,0,17.7833333333333,Felsic,1930,1935,5.92,1.55,0,0,0.3,5,yes,"Massive, disseminated, and stockwork, large number of small orebodies.",Proterozoic,1950,0.0035,,,,,,,,,,,,,"Bimodal-felsic in epicontinental arc",,,,,
574,Afterthought,,,USCA,"United States",California,40,44,6,40.735,-122,-4,-4,-122.067777777778,Felsic,1862,1869,0.15,3.23,16.15,2.17,1,190,yes,"Massive elongate lenses, 0.15 km thickness, stringers below 5 orebodies, dissemination, 18 orebodies.","Late Permian",260,,0.21,0.18,,,,,,,,,,0,"Siliciclastic-felsic in mature epicontinental arc",yes,,,,"stratigraphic and shear zones"
575,Agrokipia,,,CYPS,Cyprus,,35,2,37,35.0436111111111,33,8,45,33.1458333333333,Mafic,1951,1951,1.42,1.7,1.09,0,0,0,yes,"Mostly stockwork, massive ore removed by erosion, gossan. A and B orebodies, displaced by fault. Ocean crust ophiolite, mid-ocean ridge axis.",Cretaceous,100,0.08,0.575,0.2,,,,,,,,,,0,"Mafic in midoceanic ridge",yes,,yes,no,"contact between Upper and Lower Pillow Lavas."
576,Aijala,Ajosniitty,,FNLD,Finland,Turku,60,11,31,60.1919444444444,23,21,58,23.3661111111111,Bimodal-Mafic,1681,1949,0.84,1.8,0.6,0.02,0.75,15,no,Massive.,Proterozoic,1800,,0.4,0.02,,,,,,,,,,0,"Bimodal-mafic in oceanic arc",yes,amphibolite,no,no,stratigraphic
577,Akarsen,,,TRKY,Turkey,Artvin,41,14,10,41.2361111111111,41,30,18,41.505,Felsic,1938,,,,,,,,no,"Massive, 0.02 km thickness. Reserves 4 million t @ 2.87% Cu, 2.3 g/t Au, 35 g/t Ag, open at depth.","Upper Cretaceous",80,,0.17,0.03,,,0.05,,,,,,,0,"Bimodal-felsic in epicontinental arc",yes,greenschist,,yes,
578,Akkoy,,,TRKY,Turkey,Giresun,40,50,56,40.8488888888889,38,18,35,38.3097222222222,Felsic,-2000,,1.88,0.47,2.86,0,0,0,yes,"Massive, stringer, stockwork, dissemination, 0.02 km thickness.","Upper Cretaceous",80,,0.2,0.05,,,,,,,,,,0,"Bimodal-felsic in epicontinental arc",yes,greenschist,,yes,
579,"Akulla East",,,SWDN,Sweden,,64,54,42,64.9116666666667,20,15,33,20.2591666666667,Felsic,,,1,1.7,0.07,0,2.1,14,,,Proterozoic,1950,,,,,,,,,,,,,,"Bimodal-felsic in epicontinental arc",,,,,stratigraphic
580,Albert,Capleton,"Albert, Capel, Walter, Wheal Betsey",CNQU,Canada,Quebec,45,19,21,45.3225,-71,-54,-43,-71.9119444444444,Felsic,1863,1866,0.54,3,0,0,0,0,no,"Massive, two pipe-shaped bodies. Felsic and mafic volcanic rocks about equal proportions. Capleton is 1200 m deep. Closed 1939.",Ordovician,588,,0.83,0.48,,,,,,,,,,0,"Bimodal-felsic in epicontinental arc",yes,greenschist,yes,yes,stratigraphic
581,Aldermac,,,CNQU,Canada,Quebec,48,13,7,48.2186111111111,-79,-13,-52,-79.2311111111111,Bimodal-Mafic,1924,1937,1.98,1.52,0,0,0.17,6.5,no,"Massive. North limb of syncline and faulting.",Archean,2698,,0.35,0.1,,,,,,,,,,9.1,"Bimodal-mafic in oceanic arc",yes,greenschist,yes,yes,stratigraphic
582,"Allard River",,,CNQU,Canada,Quebec,49,36,30,49.6083333333333,-77,-56,-6,-77.935,Bimodal-Mafic,1946,,0.45,0.75,0,0,0,0,yes,"Dissemination, 0.05 km thickness, pipe-like zone.",Archean,2720,,0.17,0.07,,,,,,,,,,,"Bimodal-mafic in oceanic arc",,greenschist,,,
583,"Almagrera-Lapilla-Nueva Almagrera","Tharsis, La Lapilla","Almagrera, Lapilla, Nueva Almagrera",SPAN,Spain,Huelva,37,34,20,37.5722222222222,-7,-5,-48,-7.09666666666667,Felsic,1965,n.d,,,,,,,yes,"Massive, stockwork. Epicontinental extensional rift basins. Stratigraphy given for Almagrera. Resource 15.5 million t @ 0.7% Cu, 0.7% Zn, 0.7% Pb, 0.7 g/t Au, 40 g/t Ag; Nueva Almagrera deposit open with depth.",Carboniferous,320,,,,,,,,,,"gravity high",1.0,0.8,0,"Siliciclastic-felsic in mature epicontinental arc",yes,"lower greenschist",yes,yes,stratigraphic
584,Ambelikou,,,CYPS,Cyprus,,35,6,37,35.1102777777778,32,47,16,32.7877777777778,Mafic,1954,1956,0.02,1,0,0,0,0,no,"Massive, stockwork. Gossan.",Cretaceous,100,,,,,,,,,,,,,0,"Mafic in midoceanic ridge",,,,,
585,"Amulet A",Waite-Amulet,"Amulet C, No. 4, B, D, E, Bluff, South Rusty Hill",CNQU,Canada,Quebec,48,18,24,48.3066666666667,-79,-4,-1,-79.0669444444444,Bimodal-Mafic,1925,1930,6.33,4.85,5.79,0,1.39,50.3,no,Massive.,Archean,2698,0.03,,,,,,,,,,,,0,"Bimodal-mafic in oceanic arc",yes,greenschist,yes,no,"contact between andesite and rhyolite"
586,"Amulet F",,"No. 5",CNQU,Canada,Quebec,48,19,0,48.3166666666667,-79,-4,-55,-79.0819444444444,Bimodal-Mafic,1929,1930,0.26,3.4,8.6,0,0.51,46.3,no,"Massive, 0.04 km thickness.",Archean,2698,,0.11,0.08,,,,,,,,,,38.1,"Bimodal-mafic in oceanic arc",yes,greenschist,no,yes,"contact between andesite flows"
587,Anayatak-Cakmakkaya,Murgul,"Anayatak, Cakmakkaya, Murgul, Cankara, Dzambul, Bognari",TRKY,Turkey,Artvin,41,14,29,41.2413888888889,41,34,42,41.5783333333333,Felsic,1000,1000,83.14,0.8,4,0,0.05,3.7,yes,"Massive, stringer, stockwork, dissemination, pyrite-chalcopyrite-quartz stockwork, 0.1 km thickness. Cangara, Sosweni, Satep orebodies. Lenses of coarse-grained gypsum 5 m thick and 60 m long occur in the hangingwall. Alteration area includes silicic, argillic, and phyllic.","Upper Cretaceous",80,0.72,1,0.7,,1.8,0.6,"Ti, Mn, REE strongly depleted in altered host rock, F, Cu and Au enriched.",1.8,1.0,,,,0,"Bimodal-felsic in epicontinental arc",yes,zeolite,,,stratigraphic
588,"Ana Yatak-Ergani",Ergani,"Ana Yatak, Ergani",TRKY,Turkey,Elazig,38,22,49,38.3802777777778,39,39,33,39.6591666666667,Mafic,-2000,-2000,24.1,2.94,0,0,1.1,18.7,yes,"Massive, dissemination, stringer. Ophiolite.","Upper Cretaceous",80,0.518,1,0.5,,,,,,,,,,0,"Mafic in midoceanic ridge",yes,greenschist,yes,yes,stratigraphic
589,"Anderson Lake",Eagle,,CNMN,Canada,Manitoba,54,51,37,54.8602777777778,-99,-59,-35,-99.9930555555556,Bimodal-Mafic,1963,1970,3.19,3.41,0.1,0,0.62,7.75,yes,"Massive, elongate lens, strike N65?E, dips 60?NW, plunges 55?NE. Top is 90 m below surface. 1220 m down plunge length, 10 m max. thickness at center, 150 m average strike length of which 120 m is ore. Stringer ore underlies the center and thickest part of lens. Island arc tholeiite.",Proterozoic,1800,,0.18,0.015,,0.25,0.07,,,,,,,90,"Bimodal-mafic in oceanic arc",yes,"upper amphibolite",no,yes,stratigraphic
590,Angelo,"Mt. Angelo",,AUWA,Australia,"Western Australia",-18,-26,-30,-18.4416666666667,127,29,20,127.488888888889,Bimodal-Mafic,1962,,0.51,2.21,0,0,0,0,no,Massive.,Archean-Proterozoic,2500,,,,,,,,,,,,,,"Bimodal-mafic in epicontinental arc",,greenschist,no,no,
591,Anna,Sulitjelma,,NRWY,Norway,,67,4,58,67.0827777777778,15,19,38,15.3272222222222,Bimodal-Mafic,>1900,n.d,0.02,2,0.5,0,0,0,no,"Massive, 0.001 km thickness. Marginal back-arc rift, ensimatic.",Ordovician,470,0.01,0.2,0.057,,,,,,,,,,,"Bimodal-mafic in oceanic arc",yes,amphibolite,,,stratigraphic
592,Antler,,,USAZ,"United States",Arizona,34,52,57,34.8825,-113,-58,-6,-113.968333333333,Bimodal-Mafic,1879,1916,,,,,,,no,"Minimum tonnage: 0.456 million t @ 2.9% Cu, 6.5% Zn, 2.5% Pb, 0.33 g/t Au, 39.4 g/t Ag, open at depth. Massive thin lens, 0.012 m thickness, 610 m strike length, 198 m depth (open). Surface gossans.",Proterozoic,1700,0.03,0.73,0.07,,,,"High Hg anomaly above orebody; Cu, Pb, Ag, Zn",,,magnetic,,,0,"Bimodal-mafic in epicontinental arc",yes,"greenschist, amphibolite, retrograde",no,yes,stratigraphic
593,Apliki,,,CYPS,Cyprus,,35,4,28,35.0744444444444,32,50,35,32.8430555555556,Mafic,1937,n.d,1.5,1.8,0,0,0,0,no,"Massive, stockwork. Surface gossan.",Cretaceous,100,,,,,,,,,,,,,0,"Mafic in midoceanic ridge",,,,,
594,Arctic,,,USAK,"United States",Alaska,67,10,18,67.1716666666667,-156,-22,-53,-156.381388888889,Felsic,1965,,37,4,5.5,0.8,0.62,47,yes,"Massive, semi-massive, 0.09 km thickness, multiple stacked lenses within 80 m stratigraphic interval. Three horizons are Main,Warm Creek and South, as irregular, tabular sheets. Footwall funnel-shaped chloritic alteration zone with stringers of pyrite-chalcopyrite, but no stockwork veins. Displaced continental margin, incipient intracontinental rift.",Devonian-Mississippian,360,,1.03,0.73,,0.76,0.45,,,,,,,0,"Siliciclastic-felsic in mature epicontinental arc",yes,"greenschist, glaucophane schist",yes,yes,stratigraphic
595,Arinteiro,,"Touro-El Pino",SPAN,Spain,Pontevedra,42,53,5,42.8847222222222,-8,-19,-23,-8.32305555555556,Mafic,1969,1974,11,0.9,0,0,0,0,yes,"Disseminated ore thought to be stockwork. Ore zone flanked by 10 m of garnetiferous amphibolite, a good source for local exploration.",Silurian,430,,1.4,0.3,,,,,,,,,,,"Mafic in primitive oceanic backarc",yes,amphibolite,no,yes,stratigraphic
596,"Armstrong A",,,CNNB,Canada,"New Brunswick",47,36,0,47.6,-66,-2,-25,-66.0402777777778,Felsic,1956,,3.18,0.29,2.29,0.42,0.69,2.4,no,"Massive, 0.02 km thickness. Overturned beds. Caldera, island arc rift basin.",Ordovician,445,,0.24,0.14,,,,,,,,,,10,"Siliciclastic-felsic in mature epicontinental arc",yes,greenschist,yes,no,stratigraphic
597,Asoren,,,NRWY,Norway,,61,43,0,61.7166666666667,9,22,0,9.36666666666667,Bimodal-Mafic,n.d,n.d,0.7,1.43,0,0,0,0,no,"Dissemination ruler shape, 8.1% S, <0.1% Zn. Marginal back-arc rift.",Cambrian-Ordovician,500,,,,,,,,,,,,,,"Bimodal-mafic in epicontinental arc",yes,,,,stratigraphic
